Mozilla/5.0 (Linux; U; Android 10; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 76.0.3046.89 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 103.0.4427.95 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 103.0.4400.58 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 87.0.3750.29 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 72.0.3173.81 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 85.0.3477.81 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 109.0.3100.27 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 73.0.5490.57 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 67.0.5181.33 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 87.0.5255.59 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 70.0.4347.30 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 99.0.3498.96 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 108.0.4684.74 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 94.0.5510.56 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 65.0.3500.97 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 43.0.3094.44 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 57.0.4420.27 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 105.0.3915.78 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 100.0.3383.96 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 97.0.5692.46 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 79.0.4505.47 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 92.0.3674.44 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 85.0.3126.61 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 42.0.4030.43 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 64.0.4167.66 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 104.0.4818.53 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 75.0.5844.82 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 94.0.4598.48 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 80.0.4061.51 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 40.0.5757.64 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 42.0.5088.65 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 73.0.3933.44 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; PFGM00 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 57.0.4044.36 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 113.0.4137.35 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 84.0.4469.86 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 42.0.4068.94 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 79.0.5582.62 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 107.0.3624.81 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 47.0.3808.20 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 98.0.4041.55 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 101.0.4694.85 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 61.0.4093.96 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 43.0.4561.29 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 41.0.4795.97 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 98.0.3832.83 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 44.0.4940.88 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 43.0.4019.55 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 94.0.4417.57 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 71.0.3940.96 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 54.0.3613.65 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 63.0.3719.97 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 63.0.5652.74 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 65.0.5075.55 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 109.0.3845.94 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 110.0.4885.82 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 89.0.5469.34 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 45.0.4575.41 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 70.0.3892.96 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 42.0.4338.79 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 113.0.4446.72 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 66.0.4723.23 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 68.0.5509.25 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 105.0.4342.67 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 75.0.5218.62 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 100.0.5560.23 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 88.0.5250.85 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 57.0.3926.61 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 100.0.3038.96 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 84.0.5530.64 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; PFGM00 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 100.0.3335.85 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 94.0.3536.32 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 74.0.3613.40 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 73.0.4849.67 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 89.0.3504.48 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 93.0.5046.26 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 61.0.5981.87 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 89.0.5004.61 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 42.0.4301.85 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 47.0.4649.74 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 42.0.3598.25 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 61.0.4375.98 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 89.0.3707.61 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 112.0.5642.20 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 53.0.3004.97 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 67.0.3591.55 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 45.0.3976.51 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 100.0.5407.22 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 79.0.4842.39 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 102.0.3622.88 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 90.0.3625.57 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 41.0.3394.62 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 105.0.5284.36 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 52.0.4746.98 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 101.0.5964.72 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 105.0.4394.39 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 87.0.5835.70 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 79.0.4192.91 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 48.0.4595.25 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 79.0.5830.32 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 108.0.5020.64 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 107.0.3484.67 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 58.0.4009.78 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 56.0.5976.25 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 49.0.3315.73 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 71.0.4515.79 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 75.0.3763.64 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 84.0.3182.48 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; PFGM00 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 63.0.3299.63 Mobile Safari/537.36
